ID,Workclass,Education,Marital-status,Occupation,Relationship,Race,Sex,Native-country,Age,fnlwgt,Education-num,Capital-gain,Capital-loss,Hours-per-week,label
CLI0040,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,United-States,25,292058,9,0,0,30,<=50K
CLI0041,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,43,161240,9,0,0,45,>50K
CLI0042,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,United-States,18,192583,10,0,0,30,<=50K
CLI0043,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,22,236907,10,0,0,20,<=50K
CLI0044,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,44,344060,15,0,0,40,>50K
CLI0045,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,33,33727,14,0,0,40,<=50K
CLI0046,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,19,263932,9,0,0,20,<=50K
CLI0047,Private,Masters,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,41,173682,14,0,0,40,<=50K
CLI0048,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,58,349910,9,7688,0,40,>50K
CLI0049,Private,HS-grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,United-States,18,71792,9,0,0,40,<=50K
CLI0050,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,United-States,22,227626,9,0,0,40,<=50K
CLI0051,Private,12th,Divorced,Machine-op-inspct,Not-in-family,White,Female,Italy,55,89182,8,0,0,40,<=50K
CLI0052,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,Black,Male,United-States,42,55764,12,0,0,40,<=50K
CLI0053,Private,11th,Divorced,Craft-repair,Not-in-family,White,Female,United-States,26,147982,7,0,0,40,<=50K
CLI0054,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,26,236242,15,0,0,30,<=50K
CLI0055,Private,12th,Never-married,Other-service,Own-child,White,Male,United-States,18,347336,8,0,0,12,<=50K
CLI0056,?,Some-college,Never-married,?,Own-child,White,Female,United-States,19,242001,10,0,0,40,<=50K
CLI0057,Private,HS-grad,Divorced,Priv-house-serv,Not-in-family,White,Female,Guatemala,41,190885,9,0,0,40,<=50K
CLI0058,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,Mexico,49,99179,13,0,0,40,<=50K
CLI0059,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,48,36503,10,0,0,40,>50K
CLI0060,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,43,96129,7,0,0,60,<=50K
CLI0061,Self-emp-not-inc,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,49,151107,9,0,0,40,<=50K
CLI0062,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,29,142519,9,0,0,40,<=50K
CLI0063,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,41,107327,11,0,0,40,<=50K
CLI0064,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,20,333505,9,0,0,30,<=50K
CLI0065,Local-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,United-States,34,113543,14,0,0,40,<=50K
CLI0066,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Nicaragua,24,122234,10,0,0,20,<=50K
CLI0067,Private,Masters,Never-married,Exec-managerial,Own-child,White,Male,United-States,27,203776,9,0,0,50,<=50K
CLI0068,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,?,38,241765,7,0,0,60,<=50K
CLI0069,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,53,123429,10,0,0,60,>50K
CLI0070,Private,11th,Divorced,Handlers-cleaners,Not-in-family,White,Female,United-States,30,164190,9,0,0,38,<=50K
CLI0071,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,48,125892,13,0,0,40,>50K
CLI0072,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,?,22,410439,9,0,0,55,<=50K
CLI0073,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,42,203393,13,0,0,35,>50K
CLI0074,Private,Bachelors,Divorced,Exec-managerial,Other-relative,White,Male,United-States,33,118941,13,0,0,32,>50K
CLI0075,Private,HS-grad,Married-spouse-absent,Sales,Not-in-family,White,Male,United-States,40,143327,10,0,0,40,<=50K
CLI0076,Private,Bachelors,Married-civ-spouse,Craft-repair,Wife,Black,Female,United-States,19,164585,9,0,0,40,<=50K
CLI0077,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,48,330470,10,0,0,30,<=50K
CLI0078,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,White,Male,United-States,52,173987,6,0,0,40,<=50K
CLI0079,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,43,255635,3,0,0,40,<=50K
CLI0080,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,58,183870,6,0,0,40,<=50K
CLI0081,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35,199288,7,0,0,90,<=50K
CLI0082,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,Mexico,20,133515,10,0,0,15,<=50K
CLI0083,Self-emp-inc,10th,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States,46,230979,13,4787,0,25,>50K
CLI0084,Private,11th,Separated,Transport-moving,Not-in-family,White,Male,United-States,20,189203,12,0,0,20,<=50K
CLI0085,?,Some-college,Never-married,?,Own-child,White,Female,France,43,193494,6,0,0,40,<=50K
CLI0086,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,23,96748,10,0,0,10,<=50K
CLI0087,?,Assoc-acdm,Never-married,?,Not-in-family,White,Male,United-States,20,266467,9,0,0,25,<=50K
CLI0088,Private,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,57,70720,9,0,0,78,<=50K
CLI0089,State-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Male,United-States,30,89735,9,0,1504,40,<=50K
CLI0090,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States,25,222539,6,2597,0,50,<=50K
CLI0091,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,19,225775,10,0,0,45,<=50K
CLI0092,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,57,403625,10,0,0,60,>50K
CLI0093,Private,10th,Never-married,Transport-moving,Not-in-family,White,Male,United-States,53,174102,4,4386,0,50,>50K
CLI0094,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Mexico,19,63918,10,0,0,40,<=50K
CLI0095,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,United-States,28,70100,13,0,0,20,<=50K
CLI0096,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,Greece,24,449432,8,0,0,40,<=50K
CLI0097,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,27,113054,9,0,0,43,<=50K
CLI0098,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,25,410240,9,0,0,40,<=50K
CLI0099,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,21,451996,9,0,0,40,<=50K
CLI0100,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,White,Male,United-States,19,307496,10,0,0,23,<=50K
CLI0101,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,34,226883,9,0,0,40,<=50K
CLI0102,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,33,167309,13,0,0,40,<=50K
CLI0103,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,27,47907,13,0,0,40,<=50K
CLI0104,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,50,22211,14,7688,0,50,>50K
CLI0105,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,30,267161,10,0,0,45,<=50K
CLI0106,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,40,346532,10,0,0,40,>50K
CLI0107,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,18,272918,9,0,0,15,<=50K
CLI0108,Private,Some-college,Married-civ-spouse,Tech-support,Wife,Black,Female,United-States,55,123515,9,0,0,40,<=50K
CLI0109,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,39,235379,12,0,0,40,<=50K
CLI0110,State-gov,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,United-States,27,216013,9,0,0,40,<=50K
CLI0111,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,25,191271,9,0,0,40,<=50K
CLI0112,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,20,238685,7,0,0,40,<=50K
CLI0113,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,30,151773,10,0,0,40,>50K
CLI0114,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States,29,157941,13,0,0,40,<=50K
CLI0115,?,11th,Divorced,?,Not-in-family,White,Female,United-States,48,181307,9,0,0,60,>50K
CLI0116,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,53,101432,9,0,0,50,<=50K
CLI0117,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,United-States,37,176293,10,0,0,30,<=50K
CLI0118,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35,129597,10,0,0,46,<=50K
CLI0119,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,19,217039,10,0,0,28,<=50K
CLI0120,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,United-States,48,355890,13,0,0,55,>50K
CLI0121,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,42,206066,14,0,0,65,<=50K
CLI0122,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,53,150980,10,3137,0,40,<=50K
CLI0123,?,Bachelors,Married-civ-spouse,?,Husband,White,Male,United-States,34,303867,5,0,0,40,<=50K
CLI0124,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,22,214731,6,0,0,40,<=50K
CLI0125,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,27,204497,6,0,0,75,<=50K
CLI0126,Local-gov,9th,Never-married,Other-service,Own-child,White,Male,United-States,23,258298,13,0,2231,40,>50K
CLI0127,Private,10th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States,62,200577,14,0,0,45,>50K
CLI0128,Private,10th,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,United-States,33,267859,9,0,0,40,<=50K
CLI0129,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,United-States,51,196504,9,0,0,38,<=50K
CLI0130,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,32,209103,10,3464,0,40,<=50K
CLI0131,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,El-Salvador,32,242150,9,0,0,38,<=50K
CLI0132,State-gov,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,United-States,21,152540,9,0,0,35,<=50K
CLI0133,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,34,250724,13,0,0,45,<=50K
CLI0134,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,United-States,64,211360,9,0,0,30,<=50K
CLI0135,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,38,166585,9,0,0,40,<=50K
CLI0136,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Jamaica,45,132563,15,0,1726,40,<=50K
CLI0137,?,HS-grad,Widowed,?,Not-in-family,White,Female,United-States,43,295510,9,0,0,45,>50K
CLI0138,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,United-States,70,176493,10,0,0,17,<=50K
CLI0139,Local-gov,Prof-school,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,53,208321,9,0,1740,40,<=50K
CLI0140,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,49,175958,10,0,0,80,>50K
CLI0141,Local-gov,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,36,331902,10,0,0,35,<=50K
CLI0142,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,21,202373,11,0,0,40,<=50K
CLI0143,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,43,272165,5,0,0,40,<=50K
CLI0144,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,29,267989,13,0,0,50,>50K
CLI0145,Private,Assoc-voc,Never-married,Craft-repair,Own-child,Black,Male,United-States,30,113364,13,0,0,18,<=50K
CLI0146,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,17,179319,6,0,0,30,<=50K
CLI0147,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,27,188171,6,0,0,60,<=50K
CLI0148,Private,Bachelors,Never-married,Sales,Own-child,White,Male,United-States,43,87284,10,0,0,40,<=50K
CLI0149,State-gov,10th,Never-married,Other-service,Own-child,White,Male,United-States,19,286435,10,594,0,40,<=50K
CLI0150,Private,10th,Never-married,Adm-clerical,Own-child,White,Male,United-States,20,401690,9,0,0,30,<=50K
CLI0151,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,41,48087,4,0,1590,40,<=50K
CLI0152,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,36,353263,13,0,0,45,>50K
CLI0153,?,HS-grad,Never-married,?,Not-in-family,White,Female,United-States,29,179498,9,0,0,40,<=50K
CLI0154,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,United-States,21,85088,10,0,0,37,<=50K
CLI0155,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,44,207578,13,0,0,35,>50K
CLI0156,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Germany,25,251854,10,0,0,40,<=50K
CLI0157,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,33,258498,10,0,0,60,<=50K
CLI0158,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,42,79036,9,0,0,40,<=50K
CLI0159,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,Jamaica,37,241805,10,0,0,30,<=50K
CLI0160,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,40,520586,10,0,0,39,<=50K
CLI0161,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,White,Male,United-States,27,85625,10,0,0,20,<=50K
CLI0162,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,56,367984,11,15024,0,40,>50K
CLI0163,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,21,24008,10,0,0,35,<=50K
CLI0164,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,54,77336,9,0,0,40,<=50K
CLI0165,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,55,130957,9,0,0,45,<=50K
CLI0166,State-gov,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,65,107620,7,0,0,8,<=50K
CLI0167,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,49,62793,9,0,0,40,<=50K
CLI0168,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,32,317378,13,10520,0,40,>50K
CLI0169,Private,11th,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,32,420895,13,0,0,47,<=50K
CLI0170,Private,HS-grad,Divorced,Sales,Own-child,White,Female,United-States,34,242984,9,0,0,48,<=50K
CLI0171,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States,45,187730,13,0,0,40,<=50K
CLI0172,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,33,213226,9,0,0,50,<=50K
CLI0173,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,30,76107,9,0,0,45,>50K
CLI0174,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,United-States,51,179010,10,0,0,60,<=50K
CLI0175,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States,28,173800,13,0,0,10,<=50K
CLI0176,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,United-States,66,213477,4,0,0,10,<=50K
CLI0177,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,United-States,17,244523,6,0,0,20,<=50K
CLI0178,?,Bachelors,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Female,Taiwan,34,204052,9,0,0,40,<=50K
CLI0179,?,7th-8th,Divorced,?,Not-in-family,White,Male,United-States,47,192894,9,0,0,50,>50K
CLI0180,Private,10th,Never-married,Other-service,Own-child,White,Male,United-States,50,199995,13,0,0,40,>50K
CLI0181,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,36,175643,9,0,0,35,<=50K
CLI0182,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,60,163665,10,0,0,16,>50K
CLI0183,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,22,203182,13,0,0,30,<=50K
CLI0184,Local-gov,Bachelors,Divorced,Protective-serv,Not-in-family,White,Male,United-States,40,105936,9,5013,0,20,<=50K
CLI0185,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,25,104746,10,0,0,16,<=50K
CLI0186,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,40,99373,6,0,0,40,<=50K
CLI0187,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,United-States,42,139012,16,0,0,40,>50K
CLI0188,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,52,229983,15,3103,0,30,>50K
CLI0189,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,38,237608,13,0,2444,45,>50K
CLI0190,Private,10th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,46,180010,13,0,0,40,>50K
CLI0191,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Taiwan,29,240738,9,0,0,40,>50K
CLI0192,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,38,146178,9,0,0,40,<=50K
CLI0193,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States,32,191777,14,0,0,40,<=50K
CLI0194,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,23,141323,10,0,0,40,<=50K
CLI0195,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35,185848,9,4650,0,50,<=50K
CLI0196,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,20,210781,10,0,0,35,<=50K
CLI0197,Private,HS-grad,Never-married,Craft-repair,Unmarried,Black,Female,United-States,59,67841,9,0,0,40,>50K
CLI0198,Private,Masters,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,30,212237,13,0,1740,45,<=50K
CLI0199,Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,29,185908,13,0,0,55,>50K
CLI0200,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,18,256967,6,0,0,40,<=50K
CLI0201,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,31,124827,9,0,0,40,<=50K
CLI0202,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,46,125487,11,0,0,40,<=50K
CLI0203,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,33,120201,9,0,0,65,<=50K
CLI0204,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,33,87310,5,0,0,50,<=50K
CLI0205,Private,10th,Never-married,Sales,Other-relative,Black,Female,United-States,19,235909,10,0,0,20,<=50K
CLI0206,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,19,219300,10,0,0,25,<=50K
CLI0207,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,44,174373,12,0,0,40,>50K
CLI0208,Private,HS-grad,Divorced,Adm-clerical,Own-child,Other,Female,United-States,66,192504,14,0,0,40,<=50K
CLI0209,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,33,202822,4,0,0,14,<=50K
CLI0210,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,20,131230,9,0,1590,40,<=50K
CLI0211,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,51,123325,15,0,0,40,<=50K
CLI0212,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,37,257588,9,0,0,40,<=50K
CLI0213,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,60,138502,13,7298,0,48,>50K
CLI0214,Private,7th-8th,Never-married,Other-service,Unmarried,Black,Female,Trinadad&Tobago,28,226198,9,0,0,40,<=50K
CLI0215,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,44,79864,14,0,0,20,<=50K
CLI0216,Local-gov,Prof-school,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,21,512828,9,0,0,40,<=50K
CLI0217,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,47,137917,10,0,0,40,>50K
CLI0218,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,34,195136,13,0,1887,40,>50K
CLI0219,Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,22,138768,10,0,0,50,<=50K
CLI0220,Private,Masters,Separated,Exec-managerial,Unmarried,White,Female,United-States,66,185369,6,0,0,30,<=50K
CLI0221,Private,HS-grad,Never-married,Protective-serv,Own-child,Black,Male,United-States,28,66777,11,3137,0,40,<=50K
CLI0222,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,42,68729,10,0,0,40,<=50K
